The only way to do great work is to love what you do. (做出伟大工作的唯一方法是热爱你所做的事。), Steve Jobs / 史蒂夫·乔布斯
In the middle of difficulty lies opportunity. (在困难中藏着机会。), Albert Einstein / 阿尔伯特·爱因斯坦
"Success is not final, failure is not fatal: It is the courage to continue that counts. (成功不是终点，失败不是致命的：继续前进的勇气才是关键。)", Winston Churchill / 温斯顿·丘吉尔
Believe you can and you're halfway there. (相信你能行，你已经成功了一半。), Theodore Roosevelt / 西奥多·罗斯福
Our greatest weakness lies in giving up. The most certain way to succeed is always to try just one more time. (我们最大的弱点在于放弃。成功最有把握的方法就是再试一次。), Thomas A. Edison / 托马斯·爱迪生
The best time to plant a tree was 20 years ago. The second best time is now. (种树最好的时间是20年前，其次是现在。), Chinese Proverb / 中国谚语
"Do not go where the path may lead, go instead where there is no path and leave a trail. (不要走常走的路，去走没有路的地方并留下足迹。)", Ralph Waldo Emerson / 拉尔夫·沃尔多·爱默生
It always seems impossible until it's done. (事情在完成之前总是看起来不可能。), Nelson Mandela / 纳尔逊·曼德拉
Act as if what you do makes a difference. It does. (像你所做的事能产生影响一样行动。它确实会。), William James / 威廉·詹姆斯
What you get by achieving your goals is not as important as what you become by achieving your goals. (通过实现目标得到的东西不如通过实现目标你变成了什么重要。), Zig Ziglar / 齐格·齐格勒
The future belongs to those who believe in the beauty of their dreams. (未来属于那些相信自己梦想之美的人。), Eleanor Roosevelt / 埃莉诺·罗斯福
You miss 100% of the shots you don't take. (你不尝试，就失去了100%的机会。), Wayne Gretzky / 韦恩·格雷茨基
"Strive not to be a success, but rather to be of value. (不要追求成功，而要追求价值。)", Albert Einstein / 阿尔伯特·爱因斯坦
"I find that the harder I work, the more luck I seem to have. (我发现我越努力，似乎就越幸运。)", Thomas Jefferson / 托马斯·杰斐逊
The only limit to our realization of tomorrow will be our doubts of today. (实现明天理想的唯一限制是今天的疑虑。), Franklin D. Roosevelt / 富兰克林·D·罗斯福
Don't watch the clock; do what it does. Keep going. (不要看时钟；做它所做的。继续前进。), Sam Levenson / 山姆·李文森
You are never too old to set another goal or to dream a new dream. (设定新目标或做新梦永远不嫌老。), C.S. Lewis / C.S.刘易斯
The way to get started is to quit talking and begin doing. (开始的方法是停止说话，开始行动。), Walt Disney / 华特·迪士尼
"Your time is limited, don't waste it living someone else's life. (你的时间有限，不要浪费在过别人的生活上。)", Steve Jobs / 史蒂夫·乔布斯
The best revenge is massive success. (最好的报复是巨大的成功。), Frank Sinatra / 弗兰克·西纳特拉
Change your thoughts and you change your world. (改变你的思想，你就改变了你的世界。), Norman Vincent Peale / 诺曼·文森特·皮尔
The only person you are destined to become is the person you decide to be. (你注定成为的唯一的人是你决定成为的人。), Ralph Waldo Emerson / 拉尔夫·沃尔多·爱默生
Go confidently in the direction of your dreams. Live the life you have imagined. (自信地朝梦想的方向前进。过你想象中的生活。), Henry David Thoreau / 亨利·大卫·梭罗
Happiness is not something ready made. It comes from your own actions. (幸福不是现成的东西。它来自你自己的行动。), Dalai Lama / 达赖喇嘛
You must be the change you wish to see in the world. (你必须成为你希望在世界上看到的变化。), Mahatma Gandhi / 圣雄甘地
The power of imagination makes us infinite. (想象力的力量使我们无限。), John Muir / 约翰·缪尔
The man who moves a mountain begins by carrying away small stones. (移山的人从搬小石头开始。), Confucius / 孔子
It does not matter how slowly you go as long as you do not stop. (只要你不停下来，走得多慢都没关系。), Confucius / 孔子
Everything you've ever wanted is on the other side of fear. (你想要的一切都在恐惧的另一边。), George Addair / 乔治·阿代尔
The best and most beautiful things in the world cannot be seen or even touched - they must be felt with the heart. (世界上最好最美的东西看不见摸不着——必须用心去感受。), Helen Keller / 海伦·凯勒
Keep your face always toward the sunshine - and shadows will fall behind you. (永远面向阳光——阴影就会落在你身后。), Walt Whitman / 沃尔特·惠特曼
"You can't use up creativity. The more you use, the more you have. (创造力用不完。用得越多，拥有得越多。)", Maya Angelou / 玛雅·安吉洛
Dream big and dare to fail. (大胆梦想，敢于失败。), Norman Vaughan / 诺曼·沃恩
The question isn't who is going to let me; it's who is going to stop me. (问题不是谁会让我做；而是谁会阻止我。), Ayn Rand / 艾茵·兰德
"Build your own dreams, or someone else will hire you to build theirs. (建立你自己的梦想，否则别人会雇你去建立他们的梦想。)", Farrah Gray / 法拉·格雷
The only thing standing between you and your goal is the bullshit story you keep telling yourself as to why you can't achieve it. (你和目标之间唯一的障碍是你不断告诉自己为什么不能实现它的废话。), Jordan Belfort / 乔丹·贝尔福特
I am not a product of my circumstances. I am a product of my decisions. (我不是环境的产物。我是我决定的产物。), Stephen Covey / 史蒂芬·柯维
Every strike brings me closer to the next home run. (每次挥棒都让我更接近下一次全垒打。), Babe Ruth / 贝比·鲁斯
Definiteness of purpose is the starting point of all achievement. (明确的目标是所有成就的起点。), W. Clement Stone / W·克莱门特·斯通
Life is 10% what happens to me and 90% of how I react to it. (生活是10%发生在我身上的事，90%是我对它的反应。), Charles Swindoll / 查尔斯·斯温多尔
The mind is everything. What you think you become. (思想就是一切。你想什么，你就成为什么。), Buddha / 佛陀
The best time to plant a tree was 20 years ago. The second best time is now. (种树最好的时间是20年前，其次是现在。), Chinese Proverb / 中国谚语
An unexamined life is not worth living. (未经审视的生活不值得过。), Socrates / 苏格拉底
Eighty percent of success is showing up. (成功的80%是出现。), Woody Allen / 伍迪·艾伦
