课程名称,单元名称,题目,答案,提示,题目类别,序列
初中语法词汇2000题,单项04 数词,"Chairman Mao was born on ______.
A. December 26, 1893
B. December 1893, 26
C. 1893, 26 December
D. 1893, December, 26",A,英语中年、月、日的表达顺序为“月份+序数词+年”。,问答,1
初中语法词汇2000题,单项04 数词,"There are ______ days in a year.
A. three hundreds sixty-five
B. three hundreds and sixty-five
C. three hundred and sixty-five
D. three hundred and sixty five",C,具体数字中，hundred 用单数形式，且需用 and 连接十位和个位。,问答,2
初中语法词汇2000题,单项04 数词,"______ people go to see the new film every day.
A. Hundred
B. Hundreds of
C. Hundred of
D. Hundreds",B,hundreds of 是固定短语，表示“成百上千的”。,问答,3
初中语法词汇2000题,单项04 数词,"______ people have been killed by traffic accidents in the past 5 years.
A. Thousands of
B. Three thousands
C. Thousand of
D. One thousand of",A,thousands of 表示“成千上万的”，用于不确切数量。,问答,4
初中语法词汇2000题,单项04 数词,"His second son is in ______.
A. Four Class, Two Grade
B. Class Four, Grade Two
C. Grade Two, Class Four
D. class four, grade two",B,"英语中班级和年级的表达顺序为“Class + 基数词, Grade + 基数词”，首字母大写。",问答,5
初中语法词汇2000题,单项04 数词,"You can find the article in this book. Please turn to ______. You can copy it.
A. page fifth
B. the page five
C. Fifth Page
D. Page Five",D,页码表达为“Page + 基数词”，首字母大写。,问答,6
初中语法词汇2000题,单项04 数词,"About ______ of the students in this class are from Asian countries.
A. four-fifth
B. fourth-fifths
C. four-fifths
D. fourths-fifth",C,分数表达为“分子（基数词）+分母（序数词复数）”，分子大于1时分母加s。,问答,7
初中语法词汇2000题,单项04 数词,"His father was born in ______ World War.
A. Second
B. the Second
C. the second
D. the Two",B,序数词前加 the，且“二战”为专有名词需大写。,问答,8
初中语法词汇2000题,单项04 数词,"______ of people come to visit the Summer Palace every year.
A. A thousand and a thousand
B. The thousands and thousands
C. Thousand and thousand
D. Thousands and thousands",D,固定短语 thousands and thousands 表示“成千上万的”。,问答,9
初中语法词汇2000题,单项04 数词,"My uncle became a teacher in his ______.
A. twenty
B. twentieth
C. twenties
D. twentieths",C,in one’s twenties 表示“在某人二十多岁时”。,问答,10
初中语法词汇2000题,单项04 数词,"—What time is it now?
—It’s ______ to twelve.
A. the quarter
B. a quarter
C. two quarters
D. quarter",B,“差一刻钟”用 a quarter to + 小时。,问答,11
初中语法词汇2000题,单项04 数词,"Today we are going to learn ______ lesson.
A. nine
B. the nine
C. ninth
D. the ninth",D,序数词前加 the 表示“第几课”。,问答,12
初中语法词汇2000题,单项04 数词,"In English, 3.58 is pronounced as ______.
A. three point five eight
B. three five eight
C. three point fifty eight
D. three point five eighty",A,小数点读作 point，后面数字逐个读。,问答,13
初中语法词汇2000题,单项04 数词,"The new library is ______ times the size of the old one.
A. the nine
B. nine
C. ninth
D. the ninth",B,倍数表达为“基数词 + times”。,问答,14
初中语法词汇2000题,单项04 数词,"International Working Women’s Day is ______.
A. March 8
B. the March 8
C. May 1
D. the May 1",A,节日日期中月份前不加 the。,问答,15
初中语法词汇2000题,单项04 数词,"The ______ month of the year is October.
A. five
B. ten
C. tenth
D. six",C,October 是第十个月，需用序数词 tenth。,问答,16
初中语法词汇2000题,单项04 数词,"It took me ______ to write this letter.
A. twelve minute and three hour
B. three hour and twelve minute
C. twelve minutes and three hours
D. three hours and twelve minutes",D,小时和分钟均需用复数形式，且小时在前。,问答,17
初中语法词汇2000题,单项04 数词,"—Can you write the number ninety-five thousand, six hundred and twenty-seven?
—Yes, it is ______.
A. 95,627
B. 95,672
C. 59,627
D. 59,726",A,英文数字每三位加逗号，顺序为“千位+百位”。,问答,18
初中语法词汇2000题,单项04 数词,"—How many pupils are there in your school?
—There are five ______.
A. hundreds
B. hundred
C. hundred of
D. hundreds of",B,具体数字后 hundred 用单数形式。,问答,19
初中语法词汇2000题,单项04 数词,"The Games of ______ Olympiad in 2012 was held in the city of London.
A. 30
B. the 30
C. 30th
D. the 30th",D,序数词前加 the 表示“第几届”。,问答,20
